id,user,activity,date,time
1,13,"the user has registered",2019-03-04,00:00:00
3,15,"the user has registered",2019-03-04,00:00:00
4,16,"the user has registered",2019-03-04,00:00:00
5,17,"the user has registered",2019-03-04,21:21:16
6,3,"user logged in",2019-03-04,21:27:07
7,3,"user logged out",2019-03-04,21:29:06
8,3,"user logged in",2019-03-04,21:36:25
9,3,"user has made purchase",2019-03-04,21:36:40
10,3,"user has made purchase",2019-03-04,21:39:36
11,3,"user was contact support",2019-03-04,21:48:55
12,3,"user logged in",2019-03-05,05:44:03
13,3,"user logged out",2019-03-05,05:45:07
14,18,"the user has registered",2019-03-05,05:45:59
15,3,"user logged in",2019-03-05,07:05:06
16,3,"user logged in",2019-03-06,06:28:18
17,3,"user logged in",2019-03-06,19:06:52
18,3,"user logged in",2019-03-07,06:52:07
19,3,"user logged in",2019-03-08,07:34:07
20,3,"user logged in",2019-03-09,11:20:41
21,3,"user logged in",2019-03-09,22:43:24
22,3,"user logged in",2019-03-10,15:49:53
23,3,"user logged in",2019-03-11,11:21:58
24,3,"user logged in",2019-03-12,05:31:35
25,3,"user logged in",2019-03-12,06:06:21
26,3,"user logged in",2019-03-12,19:37:14
27,3,"user logged in",2019-03-12,20:19:45
28,3,"user has made purchase",2019-03-12,23:25:18
29,3,"user has made purchase",2019-03-12,23:30:51
30,3,"user has made purchase",2019-03-12,23:34:41
31,3,"user has made purchase",2019-03-12,23:39:22
32,3,"user logged in",2019-03-14,18:30:39
33,3,"user logged out",2019-03-14,18:51:47
34,3,"user logged in",2019-03-14,19:07:44
35,3,"user logged out",2019-03-14,19:16:18
36,3,"user logged in",2019-03-14,19:16:42
37,3,"user logged out",2019-03-14,19:18:03
38,3,"user logged in",2019-03-14,19:18:07
39,3,"user logged out",2019-03-14,19:18:36
40,3,"user logged in",2019-03-14,19:18:41
41,3,"user logged out",2019-03-14,19:18:58
42,3,"user logged in",2019-03-14,20:06:27
43,3,400,2019-03-14,20:06:49
44,3,"user logged out",2019-03-14,20:08:44
45,3,"user logged in",2019-03-14,20:08:55
46,3,"user has made purchase",2019-03-14,22:00:50
47,3,"user logged in",2019-03-16,14:17:54
